partner,Nom,mandate,state,signature_date,last_debit_date
002687,AMPA ESCOLA BRESSOL  MUNICIPAL DE CAPPONT,26870026250000000000000000000000000,valid,2015-02-01,2017-10-27
002688,AMPA ESCOLA  JOAQUIM RUYRA,26880026320000000000000000000000000,valid,2015-08-01,2017-10-27
002690,AMPA EBM PUIGMAL,26900035290000000000000000000000000,valid,2015-02-01,2017-12-20
002691,AMPA EB LA VEREMA,26910026570000000000000000000000000,valid,2015-02-24,2017-10-27
002692,AMPA COL·LEGI GUIXOT,26920027870000000000000000000000000,valid,2015-02-09,2017-11-10
002693,AMPA LLAR D'INFANTS LA GRANOTA,26930026680000000000000000000000000,esborrany,2015-03-03,2017-10-27
002694,AMPA ESCOLA  CIUTAT COOPERATIVA,26940026690000000000000000000000000,valid,2015-02-19,2017-11-10
002695,AMPA IES L'OLIVERA,26950026820000000000000000000000000,esborrany,2015-08-01,2018-02-27
002696,AMPA INSTITUT CAN LLONG-ARRAONA,26960033590000000000000000000000000,esborrany,2017-09-01,2017-11-10
002697,AMPA EBMV CAPUTXINS,26970027230000000000000000000000000,valid,2015-04-13,2017-11-10
002698,AMPA LLAR D'INFANTS EL MONTCAUET,26980027240000000000000000000000000,esborrany,2015-10-07,2017-10-27
002699,AMPA LLAR D'INFANTS FRANCESC MATA I SANGHES,26990027250000000000000000000000000,esborrany,2015-03-01,2017-11-10
002700,AMPA PEDAGOGIUM COS,27000034510000000000000000000000000,valid,2015-03-16,2017-10-27
002701,AMPA EB LA BOBILA,27010027320000000000000000000000000,valid,2015-03-01,2017-10-27
002702,AMPA EB ELS GARROFERS,27020027340000000000000000000000000,valid,2016-10-01,2017-10-27
002703,AMPA DE LA SES TEIÀ,27030027370000000000000000000000000,esborrany,2015-04-01,2017-11-10
002704,AMPA ESCOLA CANIGO,27040027380000000000000000000000000,valid,2015-04-01,2017-11-10
002705,AMPA EBM GERMANS GRIMM,27050035400000000000000000000000000,esborrany,2015-04-01,2016-10-13
002706,AMPA EB EL CUC,27060033980000000000000000000000000,esborrany,2017-10-01,2017-11-10
002707,AMPA EBM LA FONTANA,27070027660000000000000000000000000,valid,2015-04-01,2017-11-10
002708,AMPA INS BOSC DE MONTJUÏC,27080036620000000000000000000000000,valid,2015-05-22,2017-11-10
002709,AMPA I. VENTURA GASSOL,27090030700000000000000000000000000,esborrany,2015-08-01,2017-10-27
002710,AMPA CEE ESTEL CAN BORI,27100027750000000000000000000000000,esborrany,2015-04-29,2017-10-27
002711,AMPA EBM BALÀFIA,27110027710000000000000000000000000,valid,2017-01-01,2017-11-28
002712,AFA LA CASA DELS INFANTS LA MUNTANYETA,27120027740000000000000000000000000,valid,2016-10-01,2017-11-28
002713,AMPA LLARS INFANTS D'ÒDENA,27130029650000000000000000000000000,esborrany,2015-07-01,2017-11-10
